categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,subcategory_displaymode2,display_columns,display_rows,display_showlistprice,display_showsaleprice,display_showyousave,display_showdescriptionshort,display_showdescription,display_showstockstatus,display_showavailability,display_featuredproductsonly,subcategory_displaymode2_columns,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,lastmodby,category_graphic_placement,subcategory_displaycolumns,filtercategory,auto_maintained_optioncatid,auto_maintained_optionid,private_section_customers_only,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,custom_metatags_override,alternateurl_opennewwindow,hidden,display_showpoints,vcompareoptout,breadcrumb,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive,category_displaymode_responsive,display_columns_responsive,subcategory_displaymode2_responsive,vendorcategory
"1816","1814","Softside Luggage","5","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1814","Softside Luggage | Luggage City","","Popularity","Softside Luggage","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Softside Luggage</inline></h1>","","","","","N","N","","N","Luggage","0","3","7","5","",""
"1817","1815","Two-wheel Upright","","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1814","Two-wheel Upright | Luggage City","","Popularity","Hardcase Luggage Upright","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Two-wheel Upright</inline></h1>","","","","","N","N","","N","Luggage > Hardcase Luggage","0","3","7","5","",""
"1819","1815","Four-wheel Spinner","","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1814","Four-wheel Hardcase Spinner | Luggage City","Wide selection on affordable four-wheel hard-case or hard-shell spinner. Shop at Luggage City Now! Enjoy the saving!","Popularity","Hardcase Luggage Spinner","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Four-wheel Spinner</inline></h1>","","","","","N","N","","N","Luggage > Hardcase Luggage","0","3","7","5","",""
"1820","1816","Two-wheel Upright","","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1814","Two-wheel Upright | Luggage City","","Popularity","Softside Luggage Upright","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Two-wheel Upright</inline></h1>","","","","","N","N","","N","Luggage > Softside Luggage","0","3","7","5","",""
"1821","1816","Four-wheel Spinner","","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1814","Four-wheel Softside Spinner | Luggage City","Shop for soft-side four-wheel spinner. Affordable price and wide selection. Free shipping over $99!","Popularity","Softside Luggage Spinner","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Four-wheel Spinner</inline></h1>","","","","","N","N","","N","Luggage > Softside Luggage","0","3","7","5","",""
"1822","0","Backpacks","13","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1822","Best Laptop Backpacks in Toronto, Canada | Luggage City","Luggage City offers widest range of laptop backpacks in Toronto, Canada. We have high quality water resistant laptop bags, cases even with anti theft features in different price ranges.","Popularity","Backpacks","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Backpacks</inline></h1>","laptop backpacks canada, laptop cases canada, laptop bags canada","","","","N","N","","N","","0","3","7","5","",""
"1823","1814","Garment Bags","15","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1814","Garment Bags | Luggage City","","Popularity","Garment Bags","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Garment Bags</inline></h1>","","","","","N","N","","N","Luggage","0","3","7","5","",""
"1827","0","Kids","21","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1827","Kids Luggage, Kids Backpack, Kids Lunch Bag | Luggage City","","Popularity","Kids","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Kids</inline></h1>","","","","","N","N","","N","","0","3","7","5","",""
"1829","0","New Arrival","3","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1829","New Arrival | Luggage City","","Popularity","New Arrival","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">New Arrival</inline></h1>","","","","","N","Y","","N","","0","3","7","5","",""
"1857","0","Brand","28","1","/brands_s/1857.htm","3/7/2018 12:10:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Huge Luggage Selections & Great Prices | Luggage City","","Popularity","Brands","772","","","N","","","N","","<img style=""width: 100%;max-width: 378px;height: auto;     margin: auto;
    display: block;"" src=""/v/vspfiles/assets/images/trochitex3-square.jpg"" alt=""Trochi Lux-tex""/>
<div class=""row clearfix"" style=""text-align:center;"">
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/Briggs-Riley-s/1864.htm""><img src=""/v/vspfiles/assets/images/Briggs_Riley_Logo300px.jpg"" style=""max-width: 300px; width: 294px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/Delsey-s/1859.htm""><img src=""/v/vspfiles/assets/images/Delsey_Logo300px.jpg"" style=""width: 100%; max-width: 300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/Heys-s/1903.htm""><img src=""/v/vspfiles/assets/images/Heys_Logo300px.jpg"" style=""width: 100%; max-width: 300px;""/></a>
	</div>
	<!-- </div>
        <div class=""row clearfix""> -->
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/High-Sierra-s/1907.htm""><img src=""/v/vspfiles/assets/images/High_Sierra_Logo300px.jpg"" style=""width:100%; max-width:300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/Jansport-s/1867.htm""><img src=""/v/vspfiles/assets/images/Jansport_Logo300px.jpg"" style=""width:100%; max-width:300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/LeSportsac-s/1861.htm""><img src=""/v/vspfiles/assets/images/LeSportsac_Logo300px.jpg"" style=""width:100%; max-width:300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/Lug-s/1860.htm""><img src=""/v/vspfiles/assets/images/Lug_Logo300px.jpg"" style=""width:100%; max-width:300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/Mancini-s/1862.htm""><img src=""/v/vspfiles/assets/images/Mancini_Logo300px.jpg"" style=""width:100%; max-width:300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/category-s/1881.htm""><img src=""/v/vspfiles/assets/images/Pacsafe_Logo300px.jpg"" style=""width:100%; max-width:300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/Samsonite-s/1858.htm""><img src=""/v/vspfiles/assets/images/Samsonite_Logo300px.jpg"" style=""width:100%; max-width:300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/Secrid-s/1914.htm""><img src=""/v/vspfiles/assets/images/Secrid_Logo300px.jpg"" style=""width:100%; max-width:300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/category-s/1863.htm""><img src=""/v/vspfiles/assets/images/Verage_Logo300px.jpg"" style=""width:100%; max-width:300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""https://www.luggagecity.ca/Trochi-s/2045.htm""><img src=""https://www.luggagecity.ca/v/vspfiles/assets/images/Trochi%20logo.jpg"" style=""width: 215px;"" alt=""""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/category-s/1925.htm""><img src=""/v/vspfiles/assets/images/Roots_logo-current.jpg"" style=""width:100%; max-width:300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/category-s/2056.htm""><img src=""/v/vspfiles/assets/images/Bestlife-logo.png"" style=""width: 300px;"" alt=""""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/category-s/1933.htm""><img src=""/v/vspfiles/assets/images/Lewis-Large.png"" style=""max-width: 300px; width: 287px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/category-s/1935.htm""><img src=""/v/vspfiles/assets/images/WillLand_Logo300px.jpg"" style=""width: 100%; max-width: 300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""http://www.luggagecity.ca/Swiss-Gear-s/1909.htm""><img src=""/v/vspfiles/assets/images/SwissGear_Logo300px.jpg"" style=""width: 100%; max-width: 300px;""/></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<img src=""https://www.luggagecity.ca/v/vspfiles/assets/images/Aoking_Logo300px.jpg"" style=""width: 300px; max-width: 300px;""/>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""https://www.luggagecity.ca/category-s/1996.htm""><img src=""https://www.luggagecity.ca/v/vspfiles/assets/images/10013.gif"" style=""width: 300px;"" alt=""""/></a><a href=""http://www.luggagecity.ca/category-s/1935.htm""></a>
	</div>
	<div class=""column third col-md-4 col-sm-6 col-xs-12"">
		<a href=""https://www.luggagecity.ca/category-s/1960.htm""><img src=""/v/vspfiles/assets/images/lipault-collection_2.jpg"" style=""width: 205px;"" alt=""""/></a>
	</div>
</div>","","","","","N","N","","N","","0","3","7","5","",""
"1858","1857","Samsonite","1","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Best Samsonite Luggage in Toronto, Canada | Luggage City","Luggage City is the one stop source for Samsonite luggage in Toronto, Canada. We have stylish Samsonite bags and suitcase in different colors. Low price Guarantee!","Popularity","Samsonite","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Samsonite</inline></h1>","samsonite luggage canada, samsonite bags canada, samsonite suitcase, samsonite 20 spinner suitcase","","","","N","N","","N","Brand","0","3","7","5","",""
"1859","1857","Delsey","3","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Stylish Delsey Luggage in Toronto, Canada","If you are looking for Delsey Luggage in Toronto, Canada then the Luggage City has many options. We provide the best quality and low priced luggage online.","Popularity","Delsey","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Delsey</inline></h1>","delsey luggage canada, delsey canada, delsey luggage toronto, cheap luggage toronto, lightweight luggage canada, new carry on luggage","","","","N","N","","N","Brand","0","3","7","5","",""
"1860","1857","Lug","13","1","","3/7/2018 12:10:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Lug | Luggage City","Luggage City is the one stop source for Lug Bag in Toronto, Canada. We have stylish bags and suitcase in different colors. Low price Guarantee!","Popularity","Lug","772","","","N","","","N","","<img style=""width:100%;"" src=""/v/vspfiles/assets/images/INF1.jpg"" />","","","p.ProductManufacturer= 'Lug'","","N","N","","N","Brand","0","3","7","5","",""
"1861","1857","LeSportsac","14","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","LeSportsac | Luggage City","Luggage City is the one stop source for LeSportsac in Toronto, Canada. We have stylish bags and suitcase in different colors. Low price Guarantee!","Popularity","LeSportsac","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">LeSportsac</inline></h1>","","","","","N","N","","N","Brand","0","3","7","5","",""
"1862","1857","Mancini","29","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Mancini | Luggage City","Luggage City is the one stop source for luggage in Toronto, Canada. We have stylish bags and suitcase in different colors. Low price Guarantee!","Popularity","Mancini","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Mancini</inline></h1>","","","","","N","N","","N","Brand","0","3","7","5","",""
"1863","1857","Verage","15","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Verage | Luggage City","","Popularity","Verage","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Verage</inline></h1>","","","","","N","N","","N","Brand","0","3","7","5","",""
"1864","1857","Briggs & Riley","0","","","3/16/2018 3:29:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Briggs and Riley Luggage in Toronto, Canada | Luggage City","ENGINEERED FOR REALITY. GUARANTEED FOR LIFE. Briggs & Riley offers premier luggage with the best warranty in the industry. All luggage pieces are guaranteed for life. Buy Briggs and Riley bags at Luggage City in Toronto, Canada. We have large selection of Briggs and Riley luggage various colors. Buy One Now!","Popularity","Briggs and Riley","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Briggs & Riley</inline></h1>","","","","","N","N","","N","Brand","0","3","7","5","",""
"1867","1857","Jansport","4","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","N","N","N","N","","","","","1857","Jansport Backpacks in Toronto, Canada | Luggage City","Luggage City is the renowned luggage store for Jansport backpacks in Toronto, Canada. We have huge collection of Jansport bags and other branded bags at lowest prices.","Popularity","Jansport","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Jansport</inline></h1>","jansport backpacks canada, jansport canada, jansport backpack toronto, jansport bags canada","","","","N","N","","N","Brand","0","3","7","5","",""
"1881","1857","Pacsafe","19","1","","3/7/2018 12:10:00 PM","6","","","3","6","","Y","N","N","N","N","","","","1857","Pacsafe | Luggage City","","Popularity","Pacsafe","772","","","N","","","N","","<img style=""width:100%;"" src=""/v/vspfiles/assets/images/BlogBanner_1920x370-04.jpg"">
<!--<div style=""text-align: center;"">
	<inline><inline style=""color: rgb(79, 129, 189);""><b><inline><inline style=""color: rgb(75, 172, 198); font-size: 24px;"">Pacsafe Labor Day Sale! </inline><br/></inline></b></inline></inline><inline><inline style=""color: rgb(79, 129, 189);""><b><inline style=""font-size: 24px;"">Use coupon code</inline></b> </inline><inline><b><inline style=""color: rgb(192, 80, 77); font-size: 30px;"">PACSAFE2017</inline></b></inline> <b><inline><inline style=""""><font color=""#4f81bd""><span style=""font-size: 24px;"">for 15% off ALL Pacsafe !</span></font><br/><font color=""#4f81bd""><span style=""font-size: 24px;"">DON'T MISS UP THE DEADLINE</span>
	<p style=""color:rgb(192, 80, 77); font-size:24px;"" id=""timer"">
	</p>
	</font></inline></inline></b></inline><inline style=""font-size: 10px;"">*Sale items cannot be combined with any other offer or promo</inline>
</div>
<script type=""text/javascript"">
var deadline = new Date(""Sep 5, 2017 12:00:00"").getTime();
var sec = setInterval(function() {
	var now = new Date().getTime();
	var distance = deadline - now;
	var days = Math.floor(distance / (1000*60*60*24));
	var hours = Math.floor((distance % (1000*60*60*24))/(1000*60*60));
	var mins = Math.floor((distance % (1000*60*60))/(1000*60));
	var secs = Math.floor((distance % (1000*60))/1000);
	document.getElementById(""timer"").innerHTML = days + ""Days "" + hours + ""H "" + mins + ""M "" + secs + ""S"";
	if(distance<=0) {
		clearInterval(sec);
		document.getElementById(""timer"").innerHTML = ""EXPIRED"";
	}
}, 1000);
</script>-->","","","","","N","N","","N","Brand","0","3","7","5","",""
"1883","1477","Laptop & Tablet Bags","3","","","3/16/2018 3:34:00 PM","6","","","3","6","Y","Y","N","N","N","N","N","N","","1477","Laptop & Tablet Bags: Don't miss the good deal | Luggage City","Best Laptop Bags for business or travel with wide selection and decent prices. Find out more on-sale laptop briefcase and tablet sleeves LuggageCity.ca. Free shipping on orders over $99 - Get a FREE gift when over $100. Buy it Now!","Popularity","Laptop and Tablet Bags","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Laptop & Tablet Bags</inline></h1>","","","","","N","N","N","N","Business & Tech","0","3","7","5","",""
"1892","0","Accessories","12","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","N","N","N","","1892","Travel Accessories | Luggage City","","Popularity","Accessories","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Accessories</inline></h1>","","","","","N","N","N","N","","0","3","7","5","",""
"1893","1892","Wallet","1","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","N","N","N","","1892","Wallet | Luggage City","","Popularity","Wallet","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Wallet</inline></h1>","","","","","N","N","N","N","Accessories","0","3","7","5","",""
"1894","1892","Travel Accessories","1","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","N","N","N","","1892","Affordable Travel Accessories in Toronto, Canada | Luggage City","Luggage City is the ultimate luggage store offering travel accessories in Toronto, Canada. We have branded travel bags, secret waist wallet, passport cases, RFID accessories and more.","Popularity","Travel Accessories","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Travel Accessories</inline></h1>","travel accessories toronto, travel bags toronto, travel bags canada, travel stores toronto","","","","N","N","N","N","Accessories","0","3","7","5","",""
"1895","1893","Men's Wallet","","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","N","N","N","","1892","Men's Wallet | Luggage City","","Popularity","Mens Wallet","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Men's Wallet</inline></h1>","","","","","N","N","N","N","Accessories > Wallet","0","3","7","5","",""
"1896","1893","Ladies' Wallet","","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","N","N","N","","1892","Ladies' Wallet | Luggage City","","Popularity","Ladies Wallet","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Ladies' Wallet</inline></h1>","","","","","N","N","N","N","Accessories > Wallet","0","3","7","5","",""
"1903","1857","Heys","7","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Best Heys Luggage in Toronto, Canada | Luggage City","Luggage City is the one stop source for Heys luggage in Toronto, Canada. We have stylish Heys bags and Luggage in different colors. Low price Guarantee!","Popularity","Heys","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Heys</inline></h1>","","","","","N","N","","N","Brand","0","3","7","5","",""
"1907","1857","High Sierra","5","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Best High Sierra Bags in Toronto, Canada | Luggage City","Luggage City is the one stop source for Samsonite/High Sierra in Toronto, Canada. We have stylish bags and suitcase in different colors. Low price Guarantee!","Popularity","High Sierra","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">High Sierra</inline></h1>","bags on sale, rolling duffel bag on sale","","","","N","N","","N","Brand","0","3","7","5","",""
"1909","1857","Swiss Gear","10","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Swiss Gear | Luggage City","","Popularity","Swiss Gear","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Swiss Gear</inline></h1>","","","","","N","N","","N","Brand","0","3","7","5","",""
"1914","1857","Secrid","9","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Secrid | Luggage City","Luggage City is the one stop source for luggage in Toronto, Canada. We have stylish bags and suitcase in different colors. Low price Guarantee!","Popularity","Secrid","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Secrid</inline></h1>","","","","","N","N","","N","Brand","0","3","7","5","",""
"1916","1857","Aoking","16","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Best Aoking Bag in Toronto, Canada | Luggage City","Luggage City is the one stop source for Aoking backpack in Toronto, Canada. We have stylish bags in different colors. Low price Guarantee!","Popularity","Aoking","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Aoking</inline></h1>","rolling backpack, wheeled backpack, backpack on wheels, backpack sale Toronto, sale Canada","","","","N","N","","N","Brand","0","3","7","5","",""
"1919","1814","Carry-on (under 22"")","0","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1814","Carry on Luggage | Luggage City","","Popularity","Carry on Luggage","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Carry-on(under 22"")</inline></h1>","","","","","N","N","","N","Luggage","0","3","7","5","",""
"1920","1814","Medium (23""-26"")","1","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1814","Medium Luggage | Luggage City","","Popularity","Medium Luggage","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Medium(23""-26"")</inline></h1>","","","","","N","N","","N","Luggage","0","3","7","5","",""
"1921","1814","Large (27""-30"")","2","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1814","Large Luggage | Luggage City","","Popularity","Large Luggage","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Large(27""-30"")</inline></h1>","","","","","N","N","","N","Luggage","0","3","7","5","",""
"1922","1857","Nohoo","29","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","Nohoo | Luggage City","","Popularity","Nohoo","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Nohoo</inline></h1>","","","","","N","N","","N","Brand","0","3","7","5","",""
"1930","1827","Lunch Bag","1","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","N","N","N","","1827","Lunch Bag-Affordable Travel Accessories in Toronto, Canada | Luggage City","Luggage City is the ultimate luggage store offering travel accessories in Toronto, Canada. We have branded travel bags, secret waist wallet, passport cases, RFID accessories and more.","Popularity","Lunch Bag","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Lunch Bag</inline></h1>","travel accessories toronto, travel bags toronto, travel bags canada, travel stores toronto","","","","N","N","N","N","Kids","0","3","7","5","",""
"1933","1857","Lewis N Clark","8","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","LewisNClark | Luggage City","","Popularity","LewisNClark","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Lewis N Clark</inline></h1>","","","","","N","N","","N","Brand","0","3","7","5","",""
"1935","1857","WillLand Outdoors","44","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","","","","","1857","WillLand Outdoors | Luggage City","","Popularity","WillLand Outdoors","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">WillLand Outdoors</inline></h1>","","","","","N","N","","N","Brand","0","3","7","5","",""
"1940","1814","Duffel Bags and Totes","16","","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","N","","","","1814","Duffel Bags and Totes | Luggage City","","Popularity","Duffel Bags and Totes","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Duffel Bags and Totes</inline></h1>","","","","","N","N","","N","Luggage","0","3","7","5","",""
"1945","0","Sale","29","1","","3/16/2018 4:24:00 PM","6","","","3","6","Y","Y","N","N","N","N","","","","1945","Sales on luggage & backpack | Luggage City","Get Up to 70% Off On Luggage & Backpack. Shop at LuggageCity.ca today! Enjoy the saving now!","Popularity","Sales","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Sales</inline></h1>","","","p.SalePrice is NOT NULL","","N","N","","N","","0","3","7","5","",""
