categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,subcategory_displaymode2,display_columns,display_rows,display_showlistprice,display_showsaleprice,display_showyousave,display_showdescriptionshort,display_showdescription,display_showstockstatus,display_showavailability,display_featuredproductsonly,subcategory_displaymode2_columns,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,lastmodby,category_graphic_placement,subcategory_displaycolumns,filtercategory,auto_maintained_optioncatid,auto_maintained_optionid,private_section_customers_only,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,custom_metatags_override,alternateurl_opennewwindow,hidden,display_showpoints,vcompareoptout,breadcrumb,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive,category_displaymode_responsive,display_columns_responsive,subcategory_displaymode2_responsive,vendorcategory
"2063","1945","Heys Kids Sale","","","","3/7/2018 12:10:00 PM","","","","","","Y","Y","N","N","N","N","N","","","1945","Hey Kids Back to School Sale | Luggage City","","Popularity","Heys Kids Sale","772","","","N","","","N","","<!--<div style=""text-align: center;"">
	<inline><inline style=""color: rgb(79, 129, 189);""><b><inline><inline style=""color: rgb(75, 172, 198); font-size: 24px;"">Extended Heys Back to School Sale! </inline><br/ / /></inline></b></inline></inline><inline><inline style=""color: rgb(79, 129, 189);""><b><inline style=""font-size: 24px;"">Use coupon code</inline></b> </inline><inline><b><inline style=""color: rgb(192, 80, 77); font-size: 30px;"">HEYS2017</inline></b></inline> <b><inline><inline style=""color: rgb(79, 129, 189); font-size: 24px;"">for 20% off all Heys backpacks and lunchbags!<br/ / />WHILE QUANTITIES LAST!<br/ / /></inline></inline></b></inline><inline style=""font-size: 10px;"">*Sale items cannot be combined with any other offer or promo</inline>
</div> -->","","","","","N","Y","N","N","Sale","","3","7","5","",""
"2064","1859","Ultra Lite 2.0","","","","3/16/2018 4:24:00 PM","","","","","","","","N","","","","","","","1857","Delsey Ultra Lite | Luggage City","","Popularity","Delsey Ultra Lite","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Delsey Ultra Lite 2.0</inline></h1>","","","","","N","Y","","N","Brand > Delsey","","3","","5","",""
"2065","0","Category","1","8","http://www.luggagecity.ca/Luggage-s/1814.htm","11/14/2017 2:28:00 PM","","","","","","","","N","","","","","","","2065","","","","","772","","","Y","","","N","","","","","","","N","Y","","N","","","3","","3","",""
"2066","0","Lock","","8","","3/16/2018 4:24:00 PM","","","","","","","","","","","","","","","2066","Lock Accessories | Luggage City","","","lock","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Lock</inline></h1>","","","","","N","Y","","N","","","3","","5","",""
"2067","1945","Pacsafe Sale","1","","","3/16/2018 4:24:00 PM","","","","","","","Y","N","N","N","N","","","","1945","Pacsafe Sale | Luggage City","","Popularity","Pacsafe Sale","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Pacsafe Sale</inline></h1>","","","","","N","Y","","N","Sale","","3","7","5","",""
"2068","1814","Kid's Luggage","6","","/Kids-Luggage-s/2050.htm","3/16/2018 4:24:00 PM","","","","","","","","","","","","","","","1814","Kid's Luggage | Luggage City","","Popularity","Kids Luggage","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Kid's Luggage</inline></h1>","","","","","N","N","","N","Luggage","","3","","5","",""
"2069","0","Cyber Monday","","7","","3/7/2018 12:10:00 PM","","","","","5","N","Y","N","N","N","N","N","N","","2069","Happy Cyber Monday Shopping On Luggage City","Limited time Cyber Monday discount. Save up to 75%! And extra $20 off your purchase of $100.","Popularity","Cyber Monday","772","","","N","","","N","","<div class=""text-center""><a class=""banner-slide"" id=""black-friday"" href=""https://www.luggagecity.ca/Black-Friday-s/2069.htm"" title=""Pre-Black Friday Sales""><img src=""/v/vspfiles/assets/images/CYBER MONDAY 2017.jpg"" /></a></div>","","","","","N","Y","N","N","","","3","7","5","",""
"2070","0","Spring into Saving","","7","","3/16/2018 4:24:00 PM","","","","","5","N","Y","N","N","N","N","N","N","","2070","Spring into Saving | Luggage City","2018 Spring Sales on Luggage City. Save up to 75%! Free shipping over $99. Shop at Luggage City Today!","Popularity","Spring into Saving","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Spring into Saving</inline></h1>","","","","","N","Y","N","N","","","3","7","5","",""
"2071","1894","Travel Comfort","","","","3/16/2018 4:24:00 PM","","","","","","","","","","","","","","","1892","Travel Comfort | Luggage City","","","Travel Comfort","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Travel Comfort</inline></h1>","","","","","N","N","","N","Accessories > Travel Accessories","","3","","5","",""
"2072","0","Lug Handbag 20% Off","","","","3/16/2018 4:24:00 PM","","","","","","N","Y","N","N","N","N","N","","","2072","Lug Handbag 20% Off | Luggage City","","Popularity","Lug Handbag 20% Off","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Lug Handbag Sales</inline></h1>","","","","","N","N","N","N","","","3","7","5","",""
