productcode,vendor_partno,productname,displaybegindate,displayenddate,hideproduct,stockstatus,lastmodified,options_cloned_from,photos_cloned_from,share_stockstatus_with,lastmodby,ischildofproductcode,ischildofproductcode_productid,options_cloned_from_productid,photos_cloned_from_productid,share_stockstatus_with_productid,productpopularity,homepage_section,autodropship,donotallowbackorders,warehouselocation,warehouseaisle,warehousebin,warehousecustom,upc_code,productkeywords,productnameshort,productweight,freeshippingitem,minqty,maxqty,recurringstartprice,recurringstartduration,recurringprice,recurringhowoften,recurringduration,allowpriceedit,productprice,listprice,saleprice,taxableproduct,selectedoptionids,giftwrapcost,downloadfile,availability,metatag_title,metatag_description,discountedprice_level1,discountedprice_level2,discountedprice_level3,discountedprice_level4,discountedprice_level5,photo_subtext,photo_alttext,discountedrecurringprice_level1,discountedrecurringprice_level2,discountedrecurringprice_level3,discountedrecurringprice_level4,discountedrecurringprice_level5,fixed_shippingcost,fixed_shippingcost_outside_localregion,uses_product_keytypes,price_subtext,price_subtext_short,listprice_name,productprice_name,saleprice_name,hide_yousave,hide_freeaccessories,setupcost,setupcost_name,discountedsetupcost_level1,discountedsetupcost_level2,discountedsetupcost_level3,discountedsetupcost_level4,discountedsetupcost_level5,setupcost_title,stockreorderqty,warehouses,affiliate_commissionable_value,addtocartbtn_replacement_text,book_isbn,productcondition,estship_ground,estship_2ndday,estship_overnight,customfield1,customfield2,customfield3,customfield4,customfield5,shoppingdotcom_category,yahoo_category,yahoo_medium,productmanufacturer,hide_when_outofstock,stocklowqtyalarm,addtopo_now,lastpo_qty,lastpo_date,howtogetsaleprice,inv_verify_qtyonhand,inv_lastverified,enablemultichildaddtocart,vendor_price,enableoptions_inventorycontrol,photourl_small,photourl_large,private_section_customers_only,quickbooks_item_accnt,quickbooks_item_assetaccnt,quickbooks_item_cogsaccnt,vat_percentage,recurring_pricing_text,google_product_type,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,reward_points_given_for_purchase,productdescriptionshort,productdescription,productfeatures,techspecs,extinfo,orderfinished_note,metatag_keywords,productdescription_abovepricing,custom_metatags_override,ean,google_product_category,google_size,google_color,google_gender,google_age_group,google_availability,google_pattern,google_material,estdaystoship,google_unique_identifier_exists,google_adult_product,google_sizetype,google_sizesystem,nonshippable,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,categoryids,optionids,accessories,freeaccessories,producturl,photourl,categorytree,numproductssharingstock,photoseed
"10110","","Pacsafe Cashsafe™ Anti-Theft Travel Belt Wallet","","","","5","12/14/2017 1:35:00 PM","","","","267","","","","","","","","N","Y","","","","","","","Pacsafe Cashsafe Anti-Theft Travel Belt Wallet","0.4","Y","","","","","","","","N","16.99","","","","","","","Usually Ships in 1 to 2 Business Days","Pacsafe Cashsafe Anti-Theft Travel Belt Wallet","","","","","","","","Pacsafe Cashsafe™ Anti-Theft Travel Belt Wallet","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","<span class=""brand"">Pacsafe</span>","Cashsafe™","","","","","","","Pacsafe","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","<span style=""font-family: robotomedium;""><inline style=""font-family: Arial;"">The Cashsafe™ anti-theft travel belt outsmarts thieves at their own game. Great for stashing extra cash and keeping it hidden from view. The Cashsafe™ has a plastic buckle which means there's no need to remove it when passing through airport security. Adjustable and easy to use, it looks like a normal belt, but it's much smarter!</inline></span>","<ul class=""additional-features"" style=""margin-bottom: 0px; padding: 0px; list-style: none; overflow: hidden; color: rgb(0, 0, 0); font-family: robotomedium; line-height: 18.9px; background-color: rgb(255, 255, 255);""><li style=""margin: 0px; padding: 0px 60px 0px 0px; width: 520px; float: left;""><ul class=""additional-features"" style=""margin: 0px; padding-left: 0px; list-style: none; overflow: hidden; font-family: robotomedium; line-height: 18.9px; background-color: rgb(255, 255, 255);""><li style=""margin: 0px; padding: 0px 60px 0px 0px; width: 520px; float: left;""><p style=""padding: 0px 0px 0px 17px; color: rgb(51, 51, 51); background-image: url(&quot;../images/additional-list.png&quot;); background-position: 0px 6px; background-repeat: no-repeat;""><inline style=""font-family: Arial;"">Secret pocket</inline></p></li><li style=""margin: 0px; padding: 0px 60px 0px 0px; width: 520px; float: left;""><p style=""padding: 0px 0px 0px 17px; color: rgb(51, 51, 51); background-image: url(&quot;../images/additional-list.png&quot;); background-position: 0px 6px; background-repeat: no-repeat;""><inline style=""font-family: Arial;"">Metal-free: airport security friendly</inline></p></li><li style=""margin: 0px; padding: 0px 60px 0px 0px; width: 520px; float: left;""><p style=""padding: 0px 0px 0px 17px; color: rgb(51, 51, 51); background-image: url(&quot;../images/additional-list.png&quot;); background-position: 0px 6px; background-repeat: no-repeat;""><inline style=""font-family: Arial;"">Plastic buckle</inline></p></li><li style=""margin: 0px; padding: 0px 60px 0px 0px; width: 520px; float: left;""><p style=""padding: 0px 0px 0px 17px; color: rgb(51, 51, 51); background-image: url(&quot;../images/additional-list.png&quot;); background-position: 0px 6px; background-repeat: no-repeat;""><inline style=""font-family: Arial;"">Adjustable</inline></p></li><li style=""margin: 0px; padding: 0px 60px 0px 0px; width: 520px; float: left;""><p style=""padding: 0px 0px 0px 17px; color: rgb(51, 51, 51); background-image: url(&quot;../images/additional-list.png&quot;); background-position: 0px 6px; background-repeat: no-repeat;""><inline style=""font-family: Arial;"">Easy to use non-slip buckle</inline></p></li></ul></li></ul>","<ul class=""additional-features"" style=""margin-bottom: 0px; padding: 0px; list-style: none; overflow: hidden; color: rgb(0, 0, 0); font-family: robotomedium; line-height: 18.9px; background-color: rgb(255, 255, 255);""><li style=""margin: 0px; padding: 0px 60px 0px 0px; width: 520px; float: left;""><ul class=""additional-features"" style=""margin: 0px; padding-left: 0px; list-style: none; overflow: hidden; font-family: robotomedium; line-height: 18.9px; background-color: rgb(255, 255, 255);""><li style=""margin: 0px; padding: 0px 60px 0px 0px; width: 520px; float: left;""><p style=""padding: 0px 0px 0px 17px; color: rgb(51, 51, 51); background-image: url(&quot;../images/additional-list.png&quot;); background-position: 0px 6px; background-repeat: no-repeat;""><inline style=""font-family: Arial;"">Materials: PP webbing</inline></p></li><li style=""margin: 0px; padding: 0px 60px 0px 0px; width: 520px; float: left;""><p style=""padding: 0px 0px 0px 17px; color: rgb(51, 51, 51); background-image: url(&quot;../images/additional-list.png&quot;); background-position: 0px 6px; background-repeat: no-repeat;""><inline style=""font-family: Arial;"">Pocket length: 70 cm / 27.6 in</inline></p></li><li style=""margin: 0px; padding: 0px 60px 0px 0px; width: 520px; float: left;""><p style=""padding: 0px 0px 0px 17px; color: rgb(51, 51, 51); background-image: url(&quot;../images/additional-list.png&quot;); background-position: 0px 6px; background-repeat: no-repeat;""><inline style=""font-family: Arial;"">Weight: 70 g / 2.5 oz</inline></p></li><li style=""margin: 0px; padding: 0px 60px 0px 0px; width: 520px; float: left;""><p style=""padding: 0px 0px 0px 17px; color: rgb(51, 51, 51); background-image: url(&quot;../images/additional-list.png&quot;); background-position: 0px 6px; background-repeat: no-repeat;""><inline style=""font-family: Arial;"">Fits waist size: 72 - 118 cm / 28.3 - 46.5 in</inline></p></li></ul></li></ul>","","","","","","","","","","","","","","","","","","","","","","","","","","1892,1894,1881,2033","167","","","https://www.luggagecity.ca/ProductDetails.asp?ProductCode=10110","http://www.luggagecity.ca/v/vspfiles/photos/10110-1.jpg","Accessories","0","1524149144"
"80231","","SAMSONITE BLACK LABEL LITE-CUBE DLX SPINNER CARRY-ON","","","","","12/29/2017 11:29:00 AM","","","","772","","","","","","10","1","N","Y","","","","","","","SAMSONITE BLACK LABEL LITE-CUBE DLX CARRY-ON","18.07","Y","","","","","","","","N","649.99","","","","","","","Usually Ships in 1 to 2 Business Days","SAMSONITE BLACK LABEL LITE-CUBE DLX SPINNER CARRY-ON | Luggage City","","","","","","","","SAMSONITE BLACK LABEL LITE-CUBE DLX SPINNER CARRY-ON","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","<span class=""brand"">Samsonite</span>","","","","","","","","Samsonite","N","","N","","","","","","N","","Y","","","","","","","","","","","","","N","","N","N","","","Lite-Cube DLX luggage collections offers a highly stylish and comforable travel experience.<br />• Made in Europe from extremely strong, and incredibly light Curv® material with an innovative metallic look.<br />• Leather soft-handles and details.<br />• Fully featured interior.<br />• Recessed combination TSA lock.<br />• Integrated ID tag holder.<br />• Dual spinner wheels for ease of mobility.<br />• Fully lined divider & zippered mesh pouch on interior lid compartment for extra storage.<br />• Lowered cross ribbons with soft touch closing buckle on main compartment.<br />• Detachable smart packing frame - can be used as a divider pad.<br />• Removable wet pocket and laundry bag.<br />• Carry-On size and weight allowances vary by airlines. Go to www.samsonite.ca/AirlineBaggageAllowances for more details. If the bag is overstuffed, it may not be accepted by the airlines.","Weight: 5.1 lbs.<br />Body Dimensions: 19.0"" x 15.0"" x 7.0""<br />Overall Dimensions: 21.5"" x 15.5"" x 9.0""","","","","","","","","","","","","","","","","","","","","","","","","","","","1814,1815,1817,1919,1858,2073","233,892","","","https://www.luggagecity.ca/ProductDetails.asp?ProductCode=80231","http://www.luggagecity.ca/v/vspfiles/photos/80231-1.jpg","Luggage","0","1524149144"
"80231-0001","","SAMSONITE BLACK LABEL LITE-CUBE DLX SPINNER CARRY-ON - Aluminum","","","Y","","12/29/2017 11:29:00 AM","","80231","","772","80231","","","","","10","","N","Y","","","","","","","SAMSONITE BLACK LABEL LITE-CUBE DLX CARRY-ON","18.07","Y","","","","","","","","N","649.99","","","","","","","Usually Ships in 1 to 2 Business Days","SAMSONITE BLACK LABEL LITE-CUBE DLX SPINNER CARRY-ON - Aluminum | Luggage City","","","","","","","","SAMSONITE BLACK LABEL LITE-CUBE DLX SPINNER CARRY-ON - Aluminum","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","<span class=""brand"">Samsonite</span>","","","","","","","","Samsonite","N","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","Lite-Cube DLX luggage collections offers a highly stylish and comforable travel experience.<br />• Made in Europe from extremely strong, and incredibly light Curv® material with an innovative metallic look.<br />• Leather soft-handles and details.<br />• Fully featured interior.<br />• Recessed combination TSA lock.<br />• Integrated ID tag holder.<br />• Dual spinner wheels for ease of mobility.<br />• Fully lined divider & zippered mesh pouch on interior lid compartment for extra storage.<br />• Lowered cross ribbons with soft touch closing buckle on main compartment.<br />• Detachable smart packing frame - can be used as a divider pad.<br />• Removable wet pocket and laundry bag.<br />• Carry-On size and weight allowances vary by airlines. Go to www.samsonite.ca/AirlineBaggageAllowances for more details. If the bag is overstuffed, it may not be accepted by the airlines.","Weight: 5.1 lbs.<br />Body Dimensions: 19.0"" x 15.0"" x 7.0""<br />Overall Dimensions: 21.5"" x 15.5"" x 9.0""","","","","","","","","","","","","","","","","","","","","","","","","","","","1814,1815,1817,1919,1858,2073","","","","https://www.luggagecity.ca/ProductDetails.asp?ProductCode=80231-0001","http://www.luggagecity.ca/v/vspfiles/templates/266/images/nophoto.gif","Luggage","0","1524149144"
"80231-0002","","SAMSONITE BLACK LABEL LITE-CUBE DLX SPINNER CARRY-ON - Midnight Blue","","","Y","","12/29/2017 11:29:00 AM","","80231","","772","80231","","","","","10","","N","Y","","","","","","","SAMSONITE BLACK LABEL LITE-CUBE DLX CARRY-ON","18.07","Y","","","","","","","","N","649.99","","","","","","","Usually Ships in 1 to 2 Business Days","SAMSONITE BLACK LABEL LITE-CUBE DLX SPINNER CARRY-ON - Midnight Blue | Luggage City","","","","","","","","SAMSONITE BLACK LABEL LITE-CUBE DLX SPINNER CARRY-ON - Midnight Blue","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","<span class=""brand"">Samsonite</span>","","","","","","","","Samsonite","N","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","Lite-Cube DLX luggage collections offers a highly stylish and comforable travel experience.<br />• Made in Europe from extremely strong, and incredibly light Curv® material with an innovative metallic look.<br />• Leather soft-handles and details.<br />• Fully featured interior.<br />• Recessed combination TSA lock.<br />• Integrated ID tag holder.<br />• Dual spinner wheels for ease of mobility.<br />• Fully lined divider & zippered mesh pouch on interior lid compartment for extra storage.<br />• Lowered cross ribbons with soft touch closing buckle on main compartment.<br />• Detachable smart packing frame - can be used as a divider pad.<br />• Removable wet pocket and laundry bag.<br />• Carry-On size and weight allowances vary by airlines. Go to www.samsonite.ca/AirlineBaggageAllowances for more details. If the bag is overstuffed, it may not be accepted by the airlines.","Weight: 5.1 lbs.<br />Body Dimensions: 19.0"" x 15.0"" x 7.0""<br />Overall Dimensions: 21.5"" x 15.5"" x 9.0""","","","","","","","","","","","","","","","","","","","","","","","","","","","1814,1815,1817,1919,1858,2073","","","","https://www.luggagecity.ca/ProductDetails.asp?ProductCode=80231-0002","http://www.luggagecity.ca/v/vspfiles/templates/266/images/nophoto.gif","Luggage","0","1524149144"
